"id";"name";"timestamp";"SP";"KP";"KI";"KD"
1;"PIDSettings77";"2020-10-28 13:58:48";4.0;3.7;5.0;2.0
2;"PIDSettings27";"2020-10-28 13:58:54";4.0;3.7;5.0;2.0
3;"PIDSettings34";"2020-10-28 13:58:56";4.0;3.7;5.0;2.0
