"id";"name";"timestamp";"SP";"KP";"KI";"KD"
1;"PIDSettings32";"2020-10-28 12:55:35";4.0;23.11;74.79;0.0
2;"PIDSettings33";"2020-10-28 13:58:15";4.0;23.11;74.79;0.0
3;"PIDSettings51";"2020-10-28 13:58:21";4.0;23.11;74.79;0.0
